chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
house,A000055,Aderholt,AL,4,Republican,89,0.97752808988764,0.9410891,63
house,A000367,Amash,MI,3,Republican,90,0.533333333333333,0.83344944,9.4
house,A000369,Amodei,NV,2,Republican,88,0.988636363636364,0.86263906,12.3
house,A000370,Adams,NC,12,Democrat,86,0.162790697674419,0.19074712,-40
house,A000371,Aguilar,CA,31,Democrat,88,0.261363636363636,0.30006402,-21.1
house,A000372,Allen,GA,12,Republican,89,0.966292134831461,0.89274552,16.2
house,A000374,Abraham,LA,5,Republican,90,0.933333333333333,0.93542322,29.4
house,A000375,Arrington,TX,19,Republican,89,0.966292134831461,0.94210521,49
house,B000213,Barton,TX,6,Republican,88,0.920454545454545,0.86263906,12.3
house,B000287,Becerra,CA,34,Democrat,1,0,1.4e-07,-72.9
house,B000490,Bishop,GA,2,Democrat,87,0.436781609195402,0.43668299,-11.7
house,B000574,Blumenauer,OR,3,Democrat,85,0.176470588235294,0.17986457,-48.2
house,B000755,Brady,TX,8,Republican,90,0.988888888888889,0.94274868,48.8
house,B001227,Brady,PA,1,Democrat,87,0.160919540229885,0.15511726,-61.3
house,B001243,Blackburn,TN,7,Republican,84,0.916666666666667,0.93772714,39.3
house,B001248,Burgess,TX,26,Republican,88,0.954545454545455,0.92984761,26.5
house,B001250,Bishop,UT,1,Republican,87,0.954022988505747,0.93091783,27.3
house,B001251,Butterfield,NC,1,Democrat,88,0.204545454545455,0.20285595,-37
house,B001257,Bilirakis,FL,12,Republican,89,0.97752808988764,0.90948565,18.6
house,B001260,Buchanan,FL,16,Republican,85,0.964705882352941,0.84618384,10.7
house,B001269,Barletta,PA,11,Republican,87,0.977011494252874,0.92370513,23.8
house,B001270,Bass,CA,37,Democrat,81,0.111111111111111,0.13304483,-76.1
house,B001273,Black,TN,6,Republican,74,0.932432432432432,0.94701111,48.9
house,B001274,Brooks,AL,5,Republican,86,0.837209302325581,0.93688402,33.4
house,B001275,Bucshon,IN,8,Republican,90,0.988888888888889,0.93933824,33.7
house,B001278,Bonamici,OR,1,Democrat,89,0.191011235955056,0.28080042,-22.8
house,B001281,Beatty,OH,3,Democrat,86,0.186046511627907,0.1927021,-38.4
house,B001282,Barr,KY,6,Republican,90,0.966666666666667,0.8880605,15.3
house,B001283,Bridenstine,OK,1,Republican,52,0.942307692307692,0.95710611,28.7
house,B001284,Brooks,IN,5,Republican,90,0.988888888888889,0.85934198,11.8
house,B001285,Brownley,CA,26,Democrat,86,0.313953488372093,0.2941007,-21.9
house,B001286,Bustos,IL,17,Democrat,89,0.370786516853933,0.69036262,0.7
house,B001287,Bera,CA,7,Democrat,90,0.377777777777778,0.44278654,-11.4
house,B001289,Byrne,AL,1,Republican,90,0.966666666666667,0.93542322,29.4
house,B001290,Brat,VA,7,Republican,89,0.887640449438202,0.7931804,6.5
house,B001291,Babin,TX,36,Republican,88,0.954545454545455,0.94391385,46.8
house,B001292,Beyer,VA,8,Democrat,85,0.188235294117647,0.15719485,-52.6
house,B001293,Bishop,MI,8,Republican,90,0.977777777777778,0.79764253,6.7
house,B001294,Blum,IA,1,Republican,87,0.919540229885057,0.74560681,3.5
house,B001295,Bost,IL,12,Republican,89,0.98876404494382,0.88401646,14.8
house,B001296,Boyle,PA,13,Democrat,88,0.193181818181818,0.21555687,-33.6
house,B001297,Buck,CO,4,Republican,88,0.875,0.9236481,23.1
house,B001298,Bacon,NE,2,Republican,90,0.977777777777778,0.72236305,2.2
house,B001299,Banks,IN,3,Republican,90,0.944444444444444,0.94011574,35
house,B001300,Barragán,CA,44,Democrat,88,0.159090909090909,0.14344342,-70.7
house,B001301,Bergman,MI,1,Republican,89,0.966292134831461,0.91718732,21.3
house,B001302,Biggs,AZ,5,Republican,90,0.733333333333333,0.9172662,21.1
house,B001303,Blunt Rochester,DE,0,Democrat,86,0.267441860465116,0.43393784,-11.43051247
house,B001304,Brown,MD,4,Democrat,86,0.186046511627907,0.14755547,-58.5
house,B001305,Budd,NC,13,Republican,89,0.898876404494382,0.84274638,9.4
house,C000059,Calvert,CA,42,Republican,90,0.988888888888889,0.86125975,12
house,C000266,Chabot,OH,1,Republican,90,0.955555555555556,0.79617755,6.6
house,C000537,Clyburn,SC,6,Democrat,82,0.182926829268293,0.20545002,-36.5
house,C000714,Conyers,MI,13,Democrat,53,0.132075471698113,0.13288858,-60.7
house,C000754,Cooper,TN,5,Democrat,89,0.393258426966292,0.32829831,-18.4
house,C000984,Cummings,MD,7,Democrat,63,0.142857142857143,0.14406343,-55
house,C001037,Capuano,MA,7,Democrat,87,0.149425287356322,0.14360977,-72.2
house,C001038,Crowley,NY,14,Democrat,84,0.166666666666667,0.15294549,-57.9
house,C001048,Culberson,TX,7,Republican,89,0.97752808988764,0.65000858,-1.4
house,C001049,Clay,MO,1,Democrat,88,0.147727272727273,0.15766974,-58.2
